AssignmentStatus,WorkTimeInSeconds,Input.title,Input.support_statement,Input.claim,Answer.worker_warrant
Approved,89,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,a single person cannot automatically know everyone's perspective
Approved,369,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,everyone's opinion is what forms a democracy
Approved,32,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,everyone should contribute their opinion
Approved,216,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,"everyone's opinion should matter in a just society,"
Approved,119,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,everyone has a chance to have their say when voting is mandatory
Approved,5746,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,a wide pool of opinions will lend itself to a popular consensus making elected officials more responsible to their constituencies
Approved,4499,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,compulsory voting will promote nation building on its citizens
Approved,40,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,opinion of everyone is necessary for democracy
Approved,160,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,all citizens should participate in their country's political system
Approved,54,Voting,a compulsory vote we make everyone contribute their opinion.,We should introduce compulsory voting,multiple opinions means everyone in the population's opinion is voiced
Approved,233,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,"a functioning democracy is fundamental to a free country,"
Approved,4055,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,compulsory voting will ensure that masses agreed on voting a government official that will run their country
Approved,164,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,"if voting is not made mandatory, the turnout may always be low"
Approved,296,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,there is so much disagreement in society
Submitted,62,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,it is important that all are represented with their votes
Approved,35,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,a high voter turnout is important for society to function
Approved,1460,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,"a properly functioning democracy is one of the easiest ways to stimulate prosperity in the nation,"
Approved,204,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,this will only be possible with the participation of all
Approved,100,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,because it allows many different points of view so no one part of society is in control over the other
Approved,48,Voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,a functioning democracy is a relatively good system to have
Approved,31,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,unfair representation in parliament could lead to groups not having their wishes heard and recognized
Approved,352,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,in a democracy the representatives must defend the opinion of the majority
Approved,50,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,full democracy only functions properly with an engaged electorate
Approved,4322,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,parliament must be chosen by the majority of population and for the best of their interest
Approved,45,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,there needs to be fair representation is parliament.
Approved,2695,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,compulsory voting would lead to fairer representation
Approved,73,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,"and if voting is not made mandatory, people will not have the freedom to express their opinion and influence an election."
Approved,255,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,"parliament reflects more accurately the ""will of the electorate."""
Approved,183,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,you would have a more accurate view of the problems going on in your country
Approved,1154,Voting,a lack of voting leads to a situation were their isn't fair representation in parliament.,We should introduce compulsory voting,"skewed representation will lead to the neglect of certain segments of the population,"
Approved,1320,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,"giving the government information about what the voters truly want by having them all vote would allow them to shape better public policy,"
Approved,191,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,"countries with compulsory voting tend to have a much higher turnout, which is why it is imperative that the populace should be compelled to vote."
Approved,2393,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,it would not be democratic to force people to vote
Approved,19,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,the elected people should represent the will of all the citizens
Approved,4902,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,politician who won on high turn out election is the person which gained the confidence of the population
Approved,2425,Voting,a low turn out means that the elected government does not represent the true wishes of the country. making voting compulsory would mean that an elected government had a true mandate.,We should introduce compulsory voting,a low turnout ends up increasing the influence of wealthy people
