AssignmentStatus,WorkTimeInSeconds,Input.title,Input.support_statement,Input.claim,Answer.worker_warrant
Approved,95,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,the will to protect whales and nature must be translated into effective legislation
Approved,83,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,whales is great part of nature
Rejected,282,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,{}
Approved,927,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,to catch and kill an endangered animal is unacceptable.
Approved,2508,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,we need to control our greed.
Approved,5586,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,"whaling is cruel and barbaric, as well as a greedy act. nature should be protected."
Approved,610,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,the importance of preserving nature exceeds any benefits gained from greed
Approved,559,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,preserving nature is what most of society would want
Approved,3108,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,instead of killing them we should protect them
Approved,1289,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,nature is in such a fragile balance.
Submitted,137,Whaling,whaling is inhumane and an act of greed. we should help preserve nature!,We should ban whaling,"there is nothing to gain from whaling,but the greed and black markets will destroy whales."
Approved,207,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,"the damage produced by whaling gives nothing in return to humanity, it should be a banned practice"
Approved,283,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,humans need to be the guardians of whales to prevent their extinction
Approved,1538,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,"the ocean is the largest part of the planet, and whale's are such a important part of the sea."
Approved,68,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,we do not want to have the whales extinct
Approved,2293,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,whales play an important role in balancing the ecosystem
Approved,603,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,..killing of whales is unkind
Approved,89,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,whales are already considered endangered
Approved,2684,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,once whales are extinct they will be gone forever
Approved,1432,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,we really do not want this to happen to the whales species
Approved,562,Whaling,whaling is inhumane and can lead to extinction of the whale population.,We should ban whaling,the whale population is in danger from many other practices
Approved,563,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,people are opposed to inhumane ways of killing
Approved,1439,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,whaling is murder of such majestic creatures.
Approved,339,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,it is inhumane we should strive to maintain our humanity and ban whaling.
Approved,4202,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,as their numbers have been dramatically reduced and they take long to produce offspring.
Approved,4587,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,all inhumane activities should be banned
Approved,86,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,the best time to do that is now
Approved,2570,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,whales have the ability to feel pain we should not cause pain willingly.
Approved,20,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,"if we don't ban whaling than whales will go extinct,"
Approved,1148,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,...this practice leads to decreased number of this beautiful creatures
Approved,67,Whaling,whaling is inhumane and should be banned immediately.,We should ban whaling,"humankind needs to be better, whaling cause suffer."
Approved,134,Whaling,whaling is inhumane and should be banned.,We should ban whaling,animal cruelty is banned in multiple countries it is more than justified
Approved,5034,Whaling,whaling is inhumane and should be banned.,We should ban whaling,as it involves killing of innocent creatures.
Submitted,598,Whaling,whaling is inhumane and should be banned.,We should ban whaling,whales are endangered species and killing it will speed up its extinction
Approved,3072,Whaling,whaling is inhumane and should be banned.,We should ban whaling,we have the will and power to do this
Approved,65,Whaling,whaling is inhumane and should be banned.,We should ban whaling,"whales are an important natural resource to keep alive,"
