,AssignmentStatus,WorkTimeInSeconds,Input.title,Input.support_statement,Input.claim,Answer.worker_warrant
0,Approved,33,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,animals have a right to pursue their own interests and choose their own environment.
1,Approved,49,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,a confined animal lives in a unnatural way.
2,Approved,155,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,"living in such unnatural conditions causes distress, which is forced upon them, such animals suffer unnecessarily."
3,Approved,52,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,animals are most happy when they are free and in their natural environments they should be allowed to live their lives with that freedom.
4,Approved,363,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,animals will thrive if they live in the wild instead of living in a cage
5,Approved,44,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,zoos are full of cages
6,Approved,84,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,animals have a right to live in their natural environment.
7,Approved,42,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,zoos keep animals in cages
8,Approved,69,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,captive animals that are set free cannot adapt to free environment and hunt their prey
9,Approved,602,Zoos,a zoo takes an animal out of its natural environment and puts it in a cage. it is not allowed to roam or to catch prey. animals should be allowed to live in the places where they have existed not a cage.,We should abolish zoos,animals are restricted and forced to live in cages
10,Approved,48,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,animals are living their happiest and best lives when they are in their natural habitats humans have to right to take that freedom from them for their own entertainment.
11,Approved,42,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,no living creature deserves to be exploited
12,Approved,38,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,exploiting animals only for the sake of our entertainment is immoral.
13,Approved,44,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,the welfare of animals should be more important than making a monetary profit
14,Approved,26,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,it's wrong to exploit animals
15,Approved,2695,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,zoos provide psychological dysfunction to animals in captivity
16,Approved,2238,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,animals don't deserve to be exploited for money
17,Approved,97,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,it is difficult to create natural habitats for animals
18,Approved,95,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,it's wrong to collect animals for profit
19,Approved,66,Zoos,a zoo's whole business model is take animals from their natural habitats and exploit them for money,We should abolish zoos,animals have intrinsic value beyond pleasing humans.
20,Approved,929,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,animals should be able to live healthy in a natural environment
21,Approved,190,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,not allowing animals to exist in their natural environment deprives the animals of what they need it harms them and humans should not have  have the right to make a decision that hurts animals for there own pleasure by putting animals in zoos.
22,Approved,170,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,"animals require their adapted environment for them to be healthy. confining animals in a different environment (as in a zoo) causes them ill health and suffering. causing suffering is wrong, therefore so are zoos. qed."
23,Approved,90,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,we don't want to harm animals
24,Approved,61,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,viruses can be zoonotic and travel between animals and humans
25,Approved,48,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,animals kept in captivity can't live healthy and will die prematurely.
26,Approved,45,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,zoos are not natural environments
27,Approved,33,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,animals have a right to live in their natural environment.
28,Approved,72,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,it is bad for animals to live in zoos where they are not in their natural environment where they can thrive
29,Approved,105,Zoos,"animals are kept in artificial environments that are drastically different in climate and natural vegetation, this is bad for the creatures' health.",We should abolish zoos,artificial environments are quite poor for animals' adaptation
30,Approved,211,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,failing to provide for the needs of an animal in your care is wrong.  zoos fail to provide for many of the needs of animals in their care. therefore zoos are wrong
31,Approved,33,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,it is wrong to mistreat animals
32,Approved,38,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,it is better for animals to live in the wild where they are free and not kept captive in cages
33,Approved,63,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,individual freedom is right that animals are entitled to.
34,Approved,57,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,zoos are poor environments for animals
35,Approved,53,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,animals have to live horrible spaces in zoos
36,Approved,2028,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,animals have a right to be free
37,Approved,61,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,all creatures have the right to be free
38,Approved,45,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,poor zoo conditions equal poor health for the animals and curtailed freedoms make the animals sad they should not be kept in zoos.
39,Approved,9,Zoos,"animals are often kept in poor condition in zoos, with their freedom curtailed.",We should abolish zoos,"animals deserve to live free, in their natural habitat and in proper conditions."
40,Approved,150,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,"causing suffering is morally  wrong removing animals from their natural environment causes them to suffer. zoos remove animals from their natural environment zoos cause animals to suffer so, zoos themselves are morally wronged"
41,Approved,116,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,animals can't live a full life in captivity and entertaining ourselves while they suffer is cruel.
42,Approved,50,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,animals have a right to live autonomously.
43,Approved,84,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,zoos budget are limited on people's visit some animals are malnourished
44,Approved,46,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,captive animals are kept from their own environment
45,Approved,182,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,animals are kidnapped from their natural habitat
46,Approved,863,Zoos,animals belong in their own environment and not put behind bars and fake environments for our own pleasure and viewing and the concept of zoos should be abolished.,We should abolish zoos,animals are not made for human entertainment
